Entry Price,Sell Price,Quantity,PnL,Trade Duration (s),Trade Date Time,Sell Reason,Percent of Trade,Highest Price Reached,Earnings with Highest Price (%),Lowest Price Reached,Lowest Price under Buy Price (%),Long / Short,Earnings Total,Earnings per Trade,Percent per Trade,Profit per year,Profit with ...,50
162.01,162.13,0.16,0.0042663936,17.89,2025-11-05T22:32:38.048Z,profit target reached,0.006911984271,162.165,0.0381,162.005,-0.0031,long,,,,,,
162.22,162.08,0.16,0.0074530304,129.51,2025-11-05T23:05:39.422Z,profit target reached,0.01209030591,162.275,0.0916,162.055,0.0339,short,,,,,,
162.71,162.87,0.16,0.01060096,60.34,2025-11-05T23:22:52.603Z,profit target reached,0.01724882202,162.845,0.0254,162.705,-0.0031,long,,,,,,
162.35,162.21,0.16,0.0074410496,92.75,2025-11-06T00:00:16.084Z,profit target reached,0.01208054403,162.355,0.0607,162.205,0.0031,short,,,,,,
161.54,161.73,0.16,0.015508096,150.22,2025-11-06T00:12:57.184Z,profit target reached,0.02505177828,161.695,0.0383,161.455,-0.0526,long,,,,,,
161.04,161.27,0.16,-0.0516467456,102.02,2025-11-06T00:26:10.611Z,stop loss triggered,-0.08317191911,161.305,0.2223,160.94,0.1646,short,,,,,,
161.09,161.24,0.16,0.0091504896,128.3,2025-11-06T00:53:56.484Z,profit target reached,0.0147405237,161.235,0.0324,160.965,-0.0776,long,,,,,,
160.7562,160.63,0.16,0.005379616256,28.54,2025-11-06T01:04:34.485Z,profit target reached,0.008648066668,160.765,0.0631,160.615,0.0055,short,,,,,,
160.76,160.92,0.16,0.010780672,65.46,2025-11-06T01:15:32.236Z,profit target reached,0.01733100831,160.905,0.0326,160.655,-0.0653,long,,,,,,
160.13,159.99,0.16,0.0076456448,70.78,2025-11-06T01:20:32.365Z,profit target reached,0.01224297102,160.23,0.1201,159.985,0.0624,short,,,,,,
160.34,160.58,0.16,0.023617536,207.13,2025-11-06T01:36:25.541Z,profit target reached,0.03786835722,160.585,0.0951,160.145,-0.1216,long,,,,,,
160.5,160.3,0.16,0.017212928,7.43,2025-11-06T02:11:26.864Z,profit target reached,0.02762674944,160.505,0.0608,160.295,0.0031,short,,,,,,
160.83,161.04,0.16,0.0187730688,33.42,2025-11-06T02:17:18.267Z,profit target reached,0.03019272655,160.985,0.0388,160.795,-0.0218,long,,,,,,
162.3,162.61,0.16,0.0346352896,29,2025-11-06T04:45:41.265Z,profit target reached,0.05621307502,162.545,0.0933,162.245,-0.0339,long,,,,,,
162,161.95,0.16,-0.006928768,350.53,2025-11-06T05:00:34.522Z,profit target reached,-0.01122460416,162.155,0.1534,161.855,0.0957,short,,,,,,
159.5,159.32,0.16,-0.0434953728,118.71,2025-11-06T06:17:33.806Z,stop loss triggered,-0.06937511962,159.565,-0.0168,159.255,-0.1536,long,,,,,,
159.22,159.06,0.16,0.0109299712,33.83,2025-11-06T06:33:22.008Z,profit target reached,0.01740270014,159.365,0.1488,159.075,0.0911,short,,,,,,
159.25,158.93,0.16,-0.0658691072,455.43,2025-11-06T07:15:47.528Z,stop loss triggered,-0.1048965532,159.365,0.0146,159.005,-0.1538,long,,,,,,
158.74,158.47,0.16,0.0285767424,34.44,2025-11-06T07:17:20.894Z,profit target reached,0.04536272089,158.745,0.0608,158.425,0.0031,short,,,,,,
158.88,159.04,0.16,0.0109539328,23.25,2025-11-06T07:23:37.321Z,profit target reached,0.01740360843,159.045,0.0462,158.865,-0.0094,long,,,,,,
158.99,158.87,0.16,0.0045502464,122.67,2025-11-06T07:34:46.067Z,profit target reached,0.007234436751,159.105,0.13,158.845,0.0723,short,,,,,,
159.27,159.41,0.16,0.0077184512,235.39,2025-11-06T09:00:47.154Z,profit target reached,0.01229317723,159.455,0.0585,159.125,-0.091,long,,,,,,
158.73,159.09,0.16,-0.0722368512,176.36,2025-11-06T09:09:33.932Z,stop loss triggered,-0.1146615539,159.125,0.3066,158.73,0.2489,short,,,,,,
159.05,158.9,0.16,0.009345408,39.61,2025-11-06T09:48:09.799Z,profit target reached,0.01486387142,159.055,0.0608,158.925,0.0031,short,,,,,,
158.43,158.54,0.16,0.0029965568,39.16,2025-11-06T10:17:59.342Z,profit target reached,0.004747444938,158.575,0.0339,158.405,-0.0158,long,,,,,,
158.68,159.03,0.16,-0.0706320128,350.86,2025-11-06T10:53:43.237Z,stop loss triggered,-0.1120788779,159.025,0.2752,158.575,0.2174,short,0.002 tp and 0.02 stoploss,,,,,
158.8,158.92,0.16,0.0045622272,12.64,2025-11-06T11:20:14.277Z,profit target reached,0.007244816794,158.925,0.0211,158.795,-0.0031,long,,,,,,
158.56,158.4,0.16,0.0109907968,752.32,2025-11-06T12:03:41.700Z,profit target reached,0.01742700741,158.865,0.2501,158.405,0.1924,short,,,,,,
158.91,159.03,0.16,0.0045520896,54.65,2025-11-06T12:07:56.644Z,profit target reached,0.007233725583,159.035,0.021,158.855,-0.0346,long,,,,,,
158.64,158.42,0.16,0.0205848064,217.83,2025-11-06T12:18:57.912Z,profit target reached,0.03265573687,158.805,0.1617,158.44,0.104,short,,,,,,
157.86,157.99,0.16,0.0062486272,282.7,2025-11-06T13:10:20.930Z,profit target reached,0.009864082898,157.995,0.0279,157.555,-0.1932,long,,,,,,
160.52,160.38,0.16,0.0076097024,7.52,2025-11-06T14:05:55.068Z,profit target reached,0.01221509429,160.52,0.0576,160.355,0,short,,,,,,
158.57,158.65,0.16,-0.0018156544,54.61,2025-11-06T14:46:48.763Z,profit target reached,-0.002879083182,158.695,0.0212,158.345,-0.1419,long,,,,,,
157.87,157.76,0.16,0.0030532352,7.45,2025-11-06T14:55:13.661Z,profit target reached,0.00482014241,157.87,0.0576,157.715,0,short,,,,,,
158.73,158.35,0.16,-0.0754198016,34.12,2025-11-06T15:21:18.112Z,stop loss triggered,-0.1197138511,158.73,-0.0576,158.355,-0.2363,long,,,,,,
157.18,156.83,0.16,0.0415223552,18.04,2025-11-06T15:33:44.143Z,profit target reached,0.0652648379,157.185,0.0608,156.815,0.0032,short,,,,,,
155.14,155.34,0.16,0.0176976896,23.42,2025-11-06T16:46:56.106Z,profit target reached,0.02745619565,155.345,0.0745,155.12,-0.0129,long,,,,,,
155.05,154.89,0.16,0.0113142784,18.57,2025-11-06T17:21:10.995Z,profit target reached,0.01754278866,155.06,0.0641,154.815,0.0064,short,,,,,,
156.14,156.24,0.16,0.0016078336,33.74,2025-11-06T17:28:29.796Z,profit target reached,0.002510471383,156.265,0.0224,156.105,-0.0224,long,,,,,,
156.53,156.38,0.16,0.0095776512,160.01,2025-11-06T18:12:52.045Z,profit target reached,0.01499189742,156.645,0.1311,156.355,0.0735,short,,,,,,
156.39,156.5,0.16,0.0031845632,133.96,2025-11-06T18:34:59.085Z,profit target reached,0.004980338388,156.525,0.0287,156.24,-0.0959,long,,,,,,
157.46,157.27,0.16,0.015892864,38.96,2025-11-06T18:56:39.006Z,profit target reached,0.02502490365,157.55,0.1148,157.245,0.0572,short,,,,,,
157.06,157.34,0.16,0.0303188992,81.26,2025-11-06T20:02:10.702Z,profit target reached,0.04761886308,157.345,0.1238,156.965,-0.0605,long,,,,,,
156.55,156.43,0.16,0.0047751168,12.68,2025-11-06T20:29:24.664Z,profit target reached,0.00747544535,156.555,0.0608,156.405,0.0032,short,,,,,,
155.69,155.35,0.16,-0.0687405568,55.29,2025-11-06T21:02:11.761Z,stop loss triggered,-0.1070221729,155.705,-0.0479,155.355,-0.2152,long,,,,,,
154.69,155.12,0.16,-0.0830661376,123.44,2025-11-06T21:17:51.325Z,stop loss triggered,-0.1284950083,155.055,0.2937,154.585,0.236,short,,,,,,
155.59,155.68,0.16,0.000058752,112.63,2025-11-06T21:34:05.090Z,profit target reached,0.00009141223681,155.725,0.0291,155.545,-0.0289,long,,,,,,
155.86,155.74,0.16,0.0048387072,133.37,2025-11-06T22:14:18.173Z,profit target reached,0.007541609042,155.975,0.1315,155.735,0.0738,short,,,,,,
155.13,155.26,0.16,0.006500224,17.6,2025-11-06T22:52:11.214Z,profit target reached,0.01008379749,155.265,0.0294,155.125,-0.0032,long,,,,,,
154.89,154.63,0.16,0.027331328,60.31,2025-11-06T23:05:24.418Z,profit target reached,0.04233349394,154.965,0.1061,154.645,0.0484,short,,,,,,
154.27,154.48,0.16,0.0193776384,28.33,2025-11-06T23:25:43.015Z,profit target reached,0.02989388276,154.515,0.1012,154.235,-0.0227,long,,,,,,
